,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10501,1962-09-09,Susuma,Larfeldt,M,1987-04-20,d005,Development
1,10502,1957-10-07,Yonghoan,Marshall,M,1993-03-04,d005,Development
2,10503,1952-05-17,Dannz,Pell,M,1991-04-30,d005,Development
3,10504,1953-04-07,Xiong,Varker,M,1988-12-03,d005,Development
4,10505,1964-02-04,Isamu,Auria,M,1985-07-23,d005,Development
5,10506,1958-10-06,Kazuhisa,Kroll,F,1996-12-01,d005,Development
6,10507,1964-02-18,Kasidit,Belinskaya,M,1985-04-26,d005,Development
7,10508,1962-06-02,Kotesh,Liedekerke,M,1991-05-01,d005,Development
8,10509,1953-10-03,Abdelwaheb,Riesenhuber,F,1990-02-23,d005,Development
9,10510,1960-02-13,Keung,Slobodova,F,1990-04-20,d005,Development
10,10511,1963-06-18,Khoa,Marrevee,M,1992-01-27,d005,Development
11,10512,1955-11-16,Udi,Gihr,M,1986-01-12,d005,Development
12,10513,1959-07-07,Yuichiro,Schicker,F,1991-04-02,d005,Development
13,10514,1963-04-03,Tomofumi,McClure,M,1992-04-29,d005,Development
14,10515,1963-12-15,Raimond,Kirkerud,M,1989-10-28,d005,Development
15,10516,1960-02-20,Xiadong,Luga,M,1985-10-19,d005,Development
16,10517,1953-06-18,Tiina,Speek,M,1990-12-25,d005,Development
17,10518,1963-05-23,Marin,Lanphier,M,1993-09-03,d005,Development
18,10519,1955-12-28,Yonghoan,Alencar,F,1986-03-22,d005,Development
19,10520,1964-03-06,Jenwei,Ecklund,M,1994-03-27,d005,Development
20,10521,1957-07-31,Kwangsub,Setia,M,1989-05-11,d005,Development
21,10522,1955-07-24,Marke,Cesareni,F,1986-12-12,d005,Development
22,10523,1956-05-16,Malu,Skafidas,M,1988-12-28,d005,Development
23,10524,1959-05-02,Shigehiro,Cincotta,F,1985-10-09,d005,Development
24,10525,1963-03-29,Yuchang,Lunt,M,1990-07-08,d005,Development
25,10526,1963-12-31,Kwangho,Theuretzbacher,F,1988-02-27,d005,Development
26,10527,1964-09-15,Tetsushi,Barvinok,F,1996-01-25,d005,Development
27,10528,1963-05-16,Koichi,Lakshmanan,F,1991-12-29,d005,Development
28,10529,1952-11-21,Ymte,Yetto,M,1992-01-05,d005,Development
29,10530,1956-07-19,Boriana,Coors,F,1987-09-23,d005,Development
30,10531,1954-06-11,Oguz,Gimbel,F,1991-02-20,d005,Development
31,10532,1959-08-31,Mary,Wossner,F,1986-05-18,d005,Development
32,10533,1963-06-25,Mohamadou,Smailagic,F,1986-10-31,d005,Development
33,10534,1964-10-23,Dinah,Bahl,M,1989-01-15,d005,Development
34,10535,1961-05-19,Shalesh,Stroustrup,F,1985-02-21,d005,Development
35,10536,1964-10-29,Yechiam,Sambasivam,F,1988-03-25,d005,Development
36,10537,1962-06-29,Stella,Benzmuller,M,1996-09-25,d005,Development
37,10538,1955-08-18,Przemyslawa,Falby,M,1987-07-23,d005,Development
38,10539,1959-05-13,Yucel,Reinhard,M,1990-06-05,d005,Development
