,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10601,1959-10-23,Barton,Usdin,M,1994-08-29,d006,Quality Management
1,10602,1959-11-27,Douadi,Wossner,M,1988-03-12,d006,Quality Management
2,10603,1955-08-02,Wayne,Restivo,M,1995-07-20,d006,Quality Management
3,10604,1957-04-24,Susanna,Brizzi,M,1990-04-07,d006,Quality Management
4,10605,1956-05-21,Moti,Wixon,F,1985-04-29,d006,Quality Management
5,10606,1964-03-04,Toshiki,Marakhovsky,M,1987-05-02,d006,Quality Management
6,10607,1964-11-30,Rosalyn,Hambrick,F,1990-06-18,d006,Quality Management
7,10608,1955-07-11,Adhemar,Talmor,F,1986-05-25,d006,Quality Management
8,10609,1956-10-02,Janche,Zhang,M,1994-12-03,d006,Quality Management
9,10610,1955-06-24,Irena,Roccetti,F,1996-04-11,d006,Quality Management
10,10611,1964-05-11,Karsten,Blokdijk,M,1989-09-16,d006,Quality Management
11,10612,1959-01-01,Gil,Peroz,M,1991-09-02,d006,Quality Management
12,10613,1960-11-04,Inderjeet,Jansen,M,1990-09-01,d006,Quality Management
13,10614,1953-07-11,Gila,Ozeri,F,1990-03-03,d006,Quality Management
14,10615,1955-08-30,Keung,Delgrande,M,1996-03-10,d006,Quality Management
15,10616,1958-05-05,Tommaso,Marwedel,F,1988-03-10,d006,Quality Management
16,10617,1955-01-26,Hidekazu,Angel,F,1985-03-29,d006,Quality Management
17,10618,1963-08-03,Ranga,Yeung,F,1988-11-27,d006,Quality Management
18,10619,1961-04-27,Vivian,Kusakabe,M,1989-03-24,d006,Quality Management
19,10620,1959-11-23,Marit,Veeraraghavan,M,1990-11-10,d006,Quality Management
20,10621,1962-02-03,Hinrich,Siepmann,F,1991-06-23,d006,Quality Management
21,10622,1959-09-15,Turgut,Narlikar,M,1989-01-28,d006,Quality Management
22,10623,1953-07-11,Aleksander,Danlos,F,1987-03-07,d006,Quality Management
23,10624,1955-12-19,Sham,Gyorkos,F,1990-05-07,d006,Quality Management
24,10625,1958-02-08,Leszek,Petereit,F,1985-10-31,d006,Quality Management
25,10626,1957-06-26,Danil,Deverell,M,1996-12-03,d006,Quality Management
26,10627,1962-10-06,Shigeu,Itzfeldt,M,1991-11-07,d006,Quality Management
27,10628,1954-04-18,Krisda,Krogh,M,1985-09-11,d006,Quality Management
28,10629,1954-03-23,Lalit,Francisci,F,1986-01-30,d006,Quality Management
29,10630,1954-08-10,Bezalel,Katzenelson,F,1993-06-26,d006,Quality Management
30,10631,1955-05-17,Inderjeet,Chaudhuri,M,1988-02-16,d006,Quality Management
31,10632,1960-04-05,Yoshimitsu,Velardi,F,1985-07-25,d006,Quality Management
32,10633,1957-02-09,Sorina,Herber,M,1985-06-17,d006,Quality Management
33,10634,1954-08-01,Nahid,Chepyzhov,M,1990-11-11,d006,Quality Management
34,10635,1960-10-29,Toney,Angiulli,F,1991-09-22,d006,Quality Management
35,10636,1955-08-25,Saeko,Porotnikoff,F,1994-11-16,d006,Quality Management
36,10637,1954-07-11,Heejo,Frolund,M,1993-07-11,d006,Quality Management
37,10638,1960-11-04,Jenwei,Borovoy,M,1991-05-19,d006,Quality Management
38,10639,1953-04-18,Pramod,Erol,M,1992-10-25,d006,Quality Management
39,10640,1958-11-09,Anneke,Meszaros,M,1992-12-04,d006,Quality Management
40,10641,1953-12-24,Guozhong,Zucker,M,1993-03-21,d006,Quality Management
41,10642,1955-12-19,Hirochika,Narlikar,M,1986-08-06,d006,Quality Management
42,10643,1957-07-25,Slavian,Keirsey,M,1987-11-11,d006,Quality Management
43,10644,1962-02-22,Pranas,Benaini,M,1985-05-29,d006,Quality Management
44,10645,1957-03-01,Fumiyo,Esposito,M,1988-03-01,d006,Quality Management
45,10646,1957-11-24,Uri,Chorvat,M,1988-08-07,d006,Quality Management
46,10647,1960-01-12,Tesuro,Bahk,M,1995-09-28,d006,Quality Management
47,10648,1962-01-19,Marlo,Ratnaker,F,1988-02-16,d006,Quality Management
48,10649,1956-03-25,Vitali,Welham,M,1997-09-10,d006,Quality Management
49,10650,1959-04-09,Hongzhu,Chepyzhov,M,1992-10-04,d006,Quality Management
50,10651,1958-12-31,Zijian,Maginnis,M,1985-08-07,d006,Quality Management
51,10652,1960-04-25,Danai,Chachaty,M,1990-02-12,d006,Quality Management
52,10653,1953-06-16,Otmar,Feinberg,M,1987-04-30,d006,Quality Management
53,10654,1960-03-17,Nahla,Castellani,F,1987-05-28,d006,Quality Management
54,10655,1959-02-02,Remko,Dalton,F,1985-07-14,d006,Quality Management
55,10656,1962-06-18,Sanjay,Litzkow,M,1988-06-21,d006,Quality Management
56,10657,1958-03-09,Juichirou,Kitsuregawa,M,1989-12-31,d006,Quality Management
57,10658,1956-11-21,Junsik,Rijckaert,F,1994-04-29,d006,Quality Management
58,10659,1956-12-09,Dinah,Shackel,F,1991-09-20,d006,Quality Management
59,10660,1964-01-03,Jouko,Kolinko,M,1988-08-12,d006,Quality Management
60,10661,1956-04-07,Ottavia,Giarratana,F,1988-01-12,d006,Quality Management
61,10662,1959-10-17,Arto,Serra,F,1986-09-28,d006,Quality Management
62,10663,1965-01-09,Teunis,Noriega,M,1993-01-23,d006,Quality Management
63,10664,1962-06-02,Xumin,Peck,M,1989-12-24,d006,Quality Management
64,10665,1964-07-28,Qingxiang,Snyers,M,1988-01-23,d006,Quality Management
65,10666,1964-10-03,Zhonghua,Reeker,M,1989-05-20,d006,Quality Management
66,10667,1955-08-05,Makato,Cusworth,F,1990-06-25,d006,Quality Management
67,10668,1959-03-20,Maren,Granlund,F,1989-09-25,d006,Quality Management
68,10669,1956-05-30,Yurij,Iisaka,F,1995-06-09,d006,Quality Management
69,10670,1962-04-23,Shunichi,McAffer,M,1988-03-23,d006,Quality Management
70,10671,1953-06-12,Parviz,Rebaine,M,1987-01-08,d006,Quality Management
71,10672,1954-03-23,Bluma,Zeilberger,M,1986-07-13,d006,Quality Management
72,10673,1959-12-26,Hyuckchul,Casperson,M,1990-03-01,d006,Quality Management
73,10674,1961-03-03,Abdelaziz,Bisiani,M,1988-09-16,d006,Quality Management
74,10675,1960-03-26,Ymte,Waschkowski,F,1991-11-05,d006,Quality Management
75,10676,1953-08-26,Valeri,Danley,F,1986-03-20,d006,Quality Management
76,10677,1963-02-20,Alejandra,Perng,F,1996-10-07,d006,Quality Management
77,10678,1958-08-21,Chriss,Gide,F,1987-08-02,d006,Quality Management
78,10679,1956-09-25,Neven,Brender,M,1990-05-13,d006,Quality Management
79,10680,1962-10-11,Kish,Honglei,M,1986-06-20,d006,Quality Management
80,10681,1964-12-25,Florina,Garnier,M,1992-10-25,d006,Quality Management
81,10682,1956-07-04,Bedir,Haumacher,M,1990-11-09,d006,Quality Management
82,10683,1952-06-18,Guiseppe,Stranks,F,1993-09-07,d006,Quality Management
83,10684,1956-01-23,Aimee,Tokunaga,F,1999-10-28,d006,Quality Management
84,10685,1959-01-14,Zongyan,Cusworth,M,1990-04-24,d006,Quality Management
85,10686,1963-05-25,Avishai,Azadmanesh,F,1987-05-17,d006,Quality Management
86,10687,1961-07-25,Leon,Kaiser,F,1990-03-13,d006,Quality Management
87,10688,1964-02-28,Xiaopeng,Lanphier,F,1985-03-25,d006,Quality Management
88,10689,1958-09-13,Satoru,Otillio,M,1988-08-05,d006,Quality Management
89,10690,1962-09-06,Matt,Jumpertz,F,1989-08-22,d006,Quality Management
90,10691,1957-11-18,Denny,Setia,M,1989-09-17,d006,Quality Management
91,10692,1960-08-11,Larisa,Bage,M,1993-03-22,d006,Quality Management
92,10693,1953-12-14,Berhard,Daescu,F,1986-01-08,d006,Quality Management
93,10694,1955-12-16,Rildo,Straney,M,1988-01-26,d006,Quality Management
94,10695,1962-08-30,Zorica,Acton,M,1989-08-05,d006,Quality Management
95,10696,1952-03-23,Unal,Fendler,M,1991-09-09,d006,Quality Management
96,10697,1958-04-09,Bluma,Hiltgen,M,1998-03-04,d006,Quality Management
97,10698,1959-09-13,Barton,Engberts,M,1994-12-08,d006,Quality Management
98,10699,1964-02-02,Hatim,Deverell,M,1985-11-17,d006,Quality Management
