,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10801,1953-03-05,Uinam,Zschoche,M,1994-06-27,d008,Research
1,10802,1960-10-27,Masato,Setlzner,M,1985-08-24,d008,Research
2,10803,1952-09-15,Katsuyuki,Velasco,F,1988-04-20,d008,Research
3,10804,1964-02-20,Terresa,Benantar,M,1996-04-18,d008,Research
4,10805,1959-09-12,Kerhong,Bernick,F,1987-05-26,d008,Research
5,10806,1958-10-17,Giap,Matzel,M,1993-04-25,d008,Research
6,10807,1964-06-23,Munehiro,Zallocco,F,1986-10-23,d008,Research
7,10808,1955-09-11,Chenxi,Leijenhorst,M,1987-03-07,d008,Research
8,10809,1962-01-06,Shim,Feldhoffer,F,1987-03-04,d008,Research
9,10810,1957-10-23,Lijie,Lunn,F,1994-09-07,d008,Research
10,10811,1954-06-29,Ashish,Fortenbacher,M,1997-07-08,d008,Research
11,10812,1957-09-14,Berthier,Menhoudj,F,1987-08-11,d008,Research
12,10813,1954-07-04,Shalesh,Shumilov,M,1990-04-27,d008,Research
13,10814,1952-09-17,Nidapan,Dymetman,F,1993-07-17,d008,Research
14,10815,1960-11-12,Renny,Pramanik,M,1994-04-19,d008,Research
15,10816,1958-02-24,Morris,Caine,F,1989-06-27,d008,Research
16,10817,1958-10-02,Uri,Rullman,F,1990-12-26,d008,Research
17,10818,1958-12-20,Huan,Monarch,M,1995-10-22,d008,Research
18,10819,1957-02-19,Pascal,Sooriamurthi,M,1986-08-02,d008,Research
19,10820,1956-11-12,Baocai,Pena,F,1986-02-23,d008,Research
20,10821,1959-04-14,Irena,Schurmann,M,1987-03-12,d008,Research
21,10822,1956-08-02,Masaru,Passino,F,1986-01-11,d008,Research
22,10823,1956-06-13,Arfst,Mikschl,M,1995-01-02,d008,Research
23,10824,1958-09-20,Kirk,Kalsbeek,M,1985-03-18,d008,Research
24,10825,1958-03-27,Fan,Fairtlough,M,1985-12-30,d008,Research
25,10826,1952-12-06,Arnd,Anandan,M,1993-01-22,d008,Research
26,10827,1953-09-25,Willard,Danley,M,1996-11-07,d008,Research
27,10828,1962-10-12,Godehard,Gammage,M,1986-02-14,d008,Research
28,10829,1955-07-11,Alper,Narahara,F,1993-02-22,d008,Research
29,10830,1954-08-17,Fen,Fiebach,M,1991-08-24,d008,Research
30,10831,1953-10-11,Toong,Driscoll,M,1996-06-21,d008,Research
31,10832,1964-08-29,Hidde,Bergere,F,1986-10-11,d008,Research
32,10833,1953-04-12,Krisda,Gecseg,F,1989-02-08,d008,Research
33,10834,1954-12-16,Huiqun,Rajcani,M,1990-11-24,d008,Research
34,10835,1952-11-23,Tomoyuki,Kermarrec,M,1985-07-28,d008,Research
35,10836,1953-07-15,Jianhua,Leivant,F,1985-07-26,d008,Research
36,10837,1957-02-06,Chuanti,Karlin,M,1986-01-14,d008,Research
37,10838,1957-10-19,Deniz,Ramras,M,1990-04-11,d008,Research
38,10839,1964-04-02,Gurbir,Katiyar,M,1991-10-05,d008,Research
39,10840,1961-04-26,Mohammad,Koshino,M,1993-06-04,d008,Research
40,10841,1961-10-14,Pranav,Lieberherr,M,1990-04-21,d008,Research
