,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10101,1952-04-15,Perla,Heyers,F,1992-12-28,d002,Finance
1,10102,1959-11-04,Paraskevi,Luby,F,1994-01-26,d002,Finance
2,10103,1953-11-26,Akemi,Birch,M,1986-12-02,d002,Finance
3,10104,1961-11-19,Xinyu,Warwick,M,1987-04-16,d002,Finance
4,10105,1962-02-05,Hironoby,Piveteau,M,1999-03-23,d002,Finance
5,10106,1952-08-29,Eben,Aingworth,M,1990-12-19,d002,Finance
6,10107,1956-06-13,Dung,Baca,F,1994-03-22,d002,Finance
7,10108,1952-04-07,Lunjin,Giveon,M,1986-10-02,d002,Finance
8,10109,1958-11-25,Mariusz,Prampolini,F,1993-06-16,d002,Finance
9,10110,1957-03-07,Xuejia,Ullian,F,1986-08-22,d002,Finance
10,10111,1963-08-29,Hugo,Rosis,F,1988-06-19,d002,Finance
11,10112,1963-08-13,Yuichiro,Swick,F,1985-10-08,d002,Finance
12,10113,1963-11-13,Jaewon,Syrzycki,M,1989-12-24,d002,Finance
13,10114,1957-02-16,Munir,Demeyer,F,1992-07-17,d002,Finance
14,10115,1964-12-25,Chikara,Rissland,M,1986-01-23,d002,Finance
15,10116,1955-08-26,Dayanand,Czap,F,1985-05-28,d002,Finance
16,10117,1961-10-24,Kiyotoshi,Blokdijk,F,1990-05-28,d002,Finance
17,10118,1957-03-29,Zhonghui,Zyda,F,1990-09-13,d002,Finance
18,10119,1960-12-01,Domenick,Peltason,M,1986-03-14,d002,Finance
19,10120,1960-03-26,Armond,Fairtlough,F,1996-07-06,d002,Finance
20,10121,1962-07-14,Guoxiang,Ramsay,M,1989-05-03,d002,Finance
21,10122,1965-01-19,Ohad,Esposito,M,1992-12-23,d002,Finance
22,10123,1962-05-12,Hinrich,Randi,M,1993-01-15,d002,Finance
23,10124,1962-05-23,Geraldo,Marwedel,M,1991-09-05,d002,Finance
24,10125,1957-09-13,Syozo,Hiltgen,F,1990-10-26,d002,Finance
25,10126,1954-08-07,Kayoko,Valtorta,M,1985-09-08,d002,Finance
26,10127,1952-02-24,Subir,Baja,F,1989-01-14,d002,Finance
27,10128,1958-02-15,Babette,Lamba,F,1988-06-06,d002,Finance
28,10129,1955-12-02,Armond,Peir,M,1985-12-10,d002,Finance
29,10130,1955-04-27,Nishit,Casperson,M,1988-06-21,d002,Finance
30,10131,1952-02-19,Magdalena,Eldridge,M,1994-11-17,d002,Finance
31,10132,1956-12-15,Ayakannu,Skrikant,M,1994-10-30,d002,Finance
32,10133,1963-12-12,Giri,Isaak,M,1985-12-15,d002,Finance
33,10134,1953-04-15,Diederik,Siprelle,M,1987-12-12,d002,Finance
34,10135,1956-12-23,Nathan,Monkewich,M,1988-02-19,d002,Finance
35,10136,1961-09-14,Zissis,Pintelas,M,1986-02-11,d002,Finance
36,10137,1959-07-30,Maren,Hutton,M,1985-02-18,d002,Finance
37,10138,1955-04-24,Perry,Shimshoni,M,1986-09-18,d002,Finance
38,10139,1963-03-03,Ewing,Foong,F,1998-03-15,d002,Finance
39,10140,1957-03-11,Yucel,Auria,F,1991-03-14,d002,Finance
40,10141,1960-01-17,Shahaf,Ishibashi,F,1993-05-06,d002,Finance
41,10142,1956-08-29,Tzvetan,Hettesheimer,M,1993-10-28,d002,Finance
42,10143,1961-07-16,Sakthirel,Bakhtari,M,1988-09-30,d002,Finance
43,10144,1959-06-17,Marla,Brendel,M,1985-10-14,d002,Finance
44,10145,1956-03-30,Akemi,Esposito,F,1987-08-01,d002,Finance
45,10146,1959-01-12,Chenyi,Syang,M,1988-06-28,d002,Finance
46,10147,1964-10-13,Kazuhito,Encarnacion,M,1986-08-21,d002,Finance
47,10148,1957-10-04,Douadi,Azumi,M,1995-10-10,d002,Finance
48,10149,1953-05-20,Xiadong,Perry,F,1986-11-05,d002,Finance
49,10150,1955-01-29,Zhenbing,Perng,F,1986-11-16,d002,Finance
50,10151,1959-03-06,Itzchak,Lichtner,M,1990-04-10,d002,Finance
51,10152,1954-12-01,Jaques,Munro,F,1986-01-27,d002,Finance
52,10153,1955-12-15,Heekeun,Majewski,M,1987-04-08,d002,Finance
53,10154,1957-01-17,Abdulah,Thibadeau,F,1990-12-12,d002,Finance
54,10155,1959-12-07,Adas,Nastansky,M,1990-01-05,d002,Finance
55,10156,1964-09-19,Sumali,Fargier,M,1985-03-10,d002,Finance
56,10157,1954-04-23,Nigel,Aloisi,M,1985-11-02,d002,Finance
57,10158,1958-04-01,Khedija,Mitsuhashi,M,1986-01-29,d002,Finance
58,10159,1955-03-03,Serif,Buescher,M,1991-05-29,d002,Finance
