,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10301,1962-08-26,Lucien,Staudhammer,M,1988-05-23,d004,Production
1,10302,1954-10-11,Faiza,Baer,F,1986-07-22,d004,Production
2,10303,1961-09-11,Marlo,Zschoche,M,1990-02-05,d004,Production
3,10304,1956-03-07,Bernt,Erie,M,1992-11-16,d004,Production
4,10305,1952-06-30,Hirochika,Piancastelli,M,1988-10-31,d004,Production
5,10306,1953-06-02,Heng,Kilgour,M,1993-09-06,d004,Production
6,10307,1955-07-20,Nikolaos,Leaver,M,1991-04-10,d004,Production
7,10308,1961-03-14,Dzung,Holburn,F,1992-12-29,d004,Production
8,10309,1964-11-06,Prodip,Schusler,F,1985-06-20,d004,Production
9,10310,1964-08-29,Aksel,Alencar,M,1990-10-24,d004,Production
10,10311,1958-11-24,Hsiangchu,Molenkamp,F,1991-04-01,d004,Production
11,10312,1957-06-18,Rasiah,Deyuan,F,1986-08-28,d004,Production
12,10313,1962-05-30,Subbu,Riexinger,M,1994-10-10,d004,Production
13,10314,1961-05-04,Christfried,Apsitis,M,1986-01-16,d004,Production
14,10315,1956-08-03,Maris,Angelopoulos,M,1987-08-28,d004,Production
15,10316,1958-06-20,Christoper,Schwaller,M,1987-09-04,d004,Production
16,10317,1957-12-25,Arie,Birge,M,1986-12-10,d004,Production
17,10318,1958-08-27,Mototsugu,Beilner,F,1985-06-29,d004,Production
18,10319,1963-03-09,Mechthild,Miyakawa,M,1985-08-15,d004,Production
19,10320,1956-06-22,Uinam,Stasinski,F,1988-11-03,d004,Production
20,10321,1955-12-12,Guenter,Ravishankar,M,1991-09-24,d004,Production
21,10322,1954-05-28,Isamu,Dahlbom,F,1990-01-29,d004,Production
22,10323,1958-06-20,Kankanahalli,Hinsberger,M,1991-06-06,d004,Production
23,10324,1957-12-29,Bernardo,Rouquie,F,1988-03-19,d004,Production
24,10325,1953-01-12,Arunachalam,Badr,M,1990-09-20,d004,Production
25,10326,1953-02-13,Masali,Czap,F,1985-05-13,d004,Production
26,10327,1954-04-01,Roded,Facello,M,1987-09-18,d004,Production
27,10328,1955-06-28,Serenella,Kawashima,M,1994-01-16,d004,Production
28,10329,1958-04-28,Remko,Shigei,F,1986-01-20,d004,Production
29,10330,1957-02-02,Kasturi,Bellmore,M,1985-06-12,d004,Production
30,10331,1961-08-12,Arto,Binkley,M,1985-04-06,d004,Production
31,10332,1961-11-05,Masanao,Bain,F,1988-06-08,d004,Production
