,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10002,1964-06-02,Bezalel,Simmel,F,1985-11-21,d001,Marketing
1,10003,1959-12-03,Parto,Bamford,M,1986-08-28,d001,Marketing
2,10004,1954-05-01,Chirstian,Koblick,M,1986-12-01,d001,Marketing
3,10005,1955-01-21,Kyoichi,Maliniak,M,1989-09-12,d001,Marketing
4,10006,1953-04-20,Anneke,Preusig,F,1989-06-02,d001,Marketing
5,10007,1957-05-23,Tzvetan,Zielinski,F,1989-02-10,d001,Marketing
6,10008,1958-02-19,Saniya,Kalloufi,M,1994-09-15,d001,Marketing
7,10009,1952-04-19,Sumant,Peac,F,1985-02-18,d001,Marketing
8,10010,1963-06-01,Duangkaew,Piveteau,F,1989-08-24,d001,Marketing
9,10011,1953-11-07,Mary,Sluis,F,1990-01-22,d001,Marketing
10,10012,1960-10-04,Patricio,Bridgland,M,1992-12-18,d001,Marketing
11,10013,1963-06-07,Eberhardt,Terkki,M,1985-10-20,d001,Marketing
12,10014,1956-02-12,Berni,Genin,M,1987-03-11,d001,Marketing
13,10015,1959-08-19,Guoxiang,Nooteboom,M,1987-07-02,d001,Marketing
14,10016,1961-05-02,Kazuhito,Cappelletti,M,1995-01-27,d001,Marketing
15,10017,1958-07-06,Cristinel,Bouloucos,F,1993-08-03,d001,Marketing
16,10018,1954-06-19,Kazuhide,Peha,F,1987-04-03,d001,Marketing
17,10019,1953-01-23,Lillian,Haddadi,M,1999-04-30,d001,Marketing
18,10020,1952-12-24,Mayuko,Warwick,M,1991-01-26,d001,Marketing
19,10021,1960-02-20,Ramzi,Erde,M,1988-02-10,d001,Marketing
20,10022,1952-07-08,Shahaf,Famili,M,1995-08-22,d001,Marketing
21,10023,1953-09-29,Bojan,Montemayor,F,1989-12-17,d001,Marketing
22,10024,1958-09-05,Suzette,Pettey,F,1997-05-19,d001,Marketing
23,10025,1958-10-31,Prasadram,Heyers,M,1987-08-17,d001,Marketing
24,10026,1953-04-03,Yongqiao,Berztiss,M,1995-03-20,d001,Marketing
25,10027,1962-07-10,Divier,Reistad,F,1989-07-07,d001,Marketing
26,10028,1963-11-26,Domenick,Tempesti,M,1991-10-22,d001,Marketing
27,10029,1956-12-13,Otmar,Herbst,M,1985-11-20,d001,Marketing
28,10030,1958-07-14,Elvis,Demeyer,M,1994-02-17,d001,Marketing
29,10031,1959-01-27,Karsten,Joslin,M,1991-09-01,d001,Marketing
30,10032,1960-08-09,Jeong,Reistad,F,1990-06-20,d001,Marketing
31,10033,1956-11-14,Arif,Merlo,M,1987-03-18,d001,Marketing
32,10034,1962-12-29,Bader,Swan,M,1988-09-21,d001,Marketing
33,10035,1953-02-08,Alain,Chappelet,M,1988-09-05,d001,Marketing
34,10036,1959-08-10,Adamantios,Portugali,M,1992-01-03,d001,Marketing
35,10037,1963-07-22,Pradeep,Makrucki,M,1990-12-05,d001,Marketing
36,10038,1960-07-20,Huan,Lortz,M,1989-09-20,d001,Marketing
37,10039,1959-10-01,Alejandro,Brender,M,1988-01-19,d001,Marketing
38,10040,1959-09-13,Weiyi,Meriste,F,1993-02-14,d001,Marketing
39,10041,1959-08-27,Uri,Lenart,F,1989-11-12,d001,Marketing
40,10042,1956-02-26,Magy,Stamatiou,F,1993-03-21,d001,Marketing
41,10043,1960-09-19,Yishay,Tzvieli,M,1990-10-20,d001,Marketing
