,emp_no,birth_date,first_name,last_name,gender,hire_date,dept_no,dept_name
0,10401,1962-04-25,Eckart,Barriga,M,1991-04-05,d003,Human Resources
1,10402,1953-07-23,Volkmar,Ebeling,M,1987-01-02,d003,Human Resources
2,10403,1956-04-01,Atreyi,Mungall,F,1991-09-13,d003,Human Resources
3,10404,1955-04-27,Prodip,Rosti,F,1988-08-28,d003,Human Resources
4,10405,1957-01-20,Hilary,Budinsky,F,1985-11-04,d003,Human Resources
5,10406,1956-09-21,Sigeru,Wynblatt,F,1987-03-11,d003,Human Resources
6,10407,1955-07-05,Ulf,Siepmann,M,1990-03-08,d003,Human Resources
7,10408,1964-03-17,Martijn,Kaiser,M,1998-10-07,d003,Human Resources
8,10409,1958-08-28,Mario,Straney,M,1997-07-09,d003,Human Resources
9,10410,1965-01-19,Takahito,Gecsei,F,1993-10-16,d003,Human Resources
10,10411,1956-07-10,Lidong,Klerer,F,1989-09-02,d003,Human Resources
11,10412,1958-02-26,Masoud,Fabrizio,F,1986-05-06,d003,Human Resources
12,10413,1952-05-05,Danel,Impagliazzo,F,1990-03-26,d003,Human Resources
13,10414,1954-04-09,Yinlin,Alpin,M,1990-05-30,d003,Human Resources
14,10415,1957-11-12,Mark,Coorg,M,1993-10-25,d003,Human Resources
15,10416,1956-05-26,Uli,Keustermans,M,1989-03-24,d003,Human Resources
16,10417,1964-02-02,Bingning,Bakhtari,M,1992-03-12,d003,Human Resources
17,10418,1952-06-29,Candida,Porotnikoff,F,1989-04-20,d003,Human Resources
18,10419,1964-06-22,Maria,Bauknecht,F,1992-04-25,d003,Human Resources
19,10420,1963-03-03,Kaijung,Riesenhuber,M,1988-01-17,d003,Human Resources
20,10421,1959-03-22,Divine,Marzano,M,1989-09-12,d003,Human Resources
21,10422,1954-06-02,Greger,Rubsam,F,1990-12-07,d003,Human Resources
22,10423,1956-01-10,Dante,Cronin,F,1998-09-06,d003,Human Resources
23,10424,1959-08-17,Babette,Straney,M,1989-08-07,d003,Human Resources
24,10425,1963-10-24,Sashi,Osgood,M,1991-10-29,d003,Human Resources
25,10426,1955-12-28,Arunas,Luce,F,1985-07-06,d003,Human Resources
26,10427,1958-08-13,Khosrow,Sudbeck,F,1991-11-01,d003,Human Resources
27,10428,1957-06-25,Cathie,Brlek,M,1992-06-04,d003,Human Resources
28,10429,1952-02-13,Martien,Improta,F,1986-03-09,d003,Human Resources
29,10430,1958-06-30,Ferdinand,Chenney,M,1990-11-16,d003,Human Resources
30,10431,1961-05-25,Patricio,Bugrara,M,1987-10-08,d003,Human Resources
31,10432,1953-11-06,Hisao,Tiemann,F,1985-04-30,d003,Human Resources
32,10433,1954-09-02,Reuven,Dengi,M,1989-02-14,d003,Human Resources
33,10434,1959-07-17,Dzung,Peltason,F,1995-06-27,d003,Human Resources
34,10435,1957-10-12,Marsha,Tagansky,M,1986-12-19,d003,Human Resources
35,10436,1963-06-17,Yahiko,Lammel,M,1988-01-30,d003,Human Resources
36,10437,1956-07-07,Narain,Reeker,F,1996-04-12,d003,Human Resources
37,10438,1961-12-25,Evgueni,Srimani,F,1990-01-19,d003,Human Resources
38,10439,1958-04-09,Jolita,Jarecki,M,1990-01-11,d003,Human Resources
39,10440,1959-04-10,Akeel,Narahara,F,1994-03-31,d003,Human Resources
40,10441,1958-04-27,Adel,Perfilyeva,M,1988-07-12,d003,Human Resources
41,10442,1955-09-09,Volkmar,Unno,M,1988-03-13,d003,Human Resources
42,10443,1952-12-03,Shichao,Litvinov,F,1989-08-01,d003,Human Resources
43,10444,1956-07-29,Kazuhira,Rosis,M,1993-03-31,d003,Human Resources
44,10445,1957-01-10,Junichi,Kavanagh,F,1987-11-04,d003,Human Resources
45,10446,1960-02-08,Ebru,Chepyzhov,F,1994-11-17,d003,Human Resources
46,10447,1962-10-24,Ronghao,Yavatkar,F,1988-12-29,d003,Human Resources
47,10448,1963-12-10,Phule,Oxenboll,F,1992-03-12,d003,Human Resources
48,10449,1959-09-28,Aleksandar,Sudkamp,M,1987-03-28,d003,Human Resources
49,10450,1959-11-05,Khun,Harbusch,M,1990-01-17,d003,Human Resources
50,10451,1952-10-06,Bodh,Ranta,F,1988-03-12,d003,Human Resources
51,10452,1956-11-24,Werner,Hasham,M,1988-09-05,d003,Human Resources
52,10453,1953-07-19,Tsvetan,Matzel,F,1985-04-02,d003,Human Resources
53,10454,1961-01-22,Wonhee,Badr,M,1987-04-10,d003,Human Resources
54,10455,1963-12-17,Sverrir,Streng,F,1989-02-14,d003,Human Resources
55,10456,1963-01-24,Stepehn,Hardjono,F,1995-12-25,d003,Human Resources
56,10457,1963-11-10,Oddvar,Schlenzig,M,1991-11-23,d003,Human Resources
57,10458,1961-01-06,Gina,Engelmann,F,1988-07-23,d003,Human Resources
58,10459,1959-09-30,Ennio,Trogemann,M,1997-06-28,d003,Human Resources
59,10460,1963-02-19,Shushma,VanScheik,M,1994-07-01,d003,Human Resources
60,10461,1956-10-26,Gal,Karcich,M,1987-08-03,d003,Human Resources
61,10462,1956-04-08,Sumali,Schlenzig,M,1996-03-25,d003,Human Resources
62,10463,1954-05-20,Ung,Zaiane,M,1987-12-25,d003,Human Resources
63,10464,1962-09-04,Mang,Maginnis,F,1989-10-09,d003,Human Resources
64,10465,1963-03-13,Claudi,Shackel,M,1987-09-01,d003,Human Resources
65,10466,1954-12-25,Jiakeng,Himler,M,1985-09-29,d003,Human Resources
66,10467,1956-01-30,Dipayan,Suomi,F,1988-07-14,d003,Human Resources
67,10468,1960-08-28,Yoshimitsu,Shobatake,M,1991-05-28,d003,Human Resources
68,10469,1964-12-22,Munehiko,Ananiadou,M,1985-06-05,d003,Human Resources
69,10470,1956-04-12,Peternela,Iwayama,M,1988-06-01,d003,Human Resources
70,10471,1963-11-30,Jouko,Yamaashi,M,1990-11-18,d003,Human Resources
71,10472,1959-08-20,Salvador,Lodder,M,1996-07-29,d003,Human Resources
72,10473,1963-10-13,Przemyslawa,Oskamp,M,1987-10-30,d003,Human Resources
73,10474,1962-02-24,Kenton,Garnham,F,1985-09-28,d003,Human Resources
74,10475,1956-12-19,Mario,Rodite,M,1987-01-19,d003,Human Resources
75,10476,1965-01-01,Kokou,Iisaka,M,1987-09-20,d003,Human Resources
76,10477,1952-12-07,Guoxiang,Trogemann,F,1989-03-04,d003,Human Resources
77,10478,1957-03-08,Maik,Ushiama,M,1992-06-09,d003,Human Resources
78,10479,1959-01-27,Duro,Coney,F,1987-02-28,d003,Human Resources
79,10480,1965-01-25,Make,Baba,F,1988-05-18,d003,Human Resources
80,10481,1959-10-18,Yongmao,Pintelas,F,1988-10-06,d003,Human Resources
81,10482,1961-07-17,Goa,Pleszkun,F,1991-07-20,d003,Human Resources
82,10483,1957-03-13,Zhiwei,Anick,M,1992-11-08,d003,Human Resources
83,10484,1961-08-30,Nirmal,Varley,F,1995-10-31,d003,Human Resources
84,10485,1961-09-20,Teruyuki,Sundgren,M,1985-10-27,d003,Human Resources
85,10486,1952-08-24,Amstein,Kossowski,F,1987-10-08,d003,Human Resources
86,10487,1956-08-23,Perla,Middleton,F,1992-08-14,d003,Human Resources
87,10488,1959-10-17,Mihalis,Heering,M,1994-06-09,d003,Human Resources
88,10489,1958-08-24,Elvia,Homond,M,1989-09-10,d003,Human Resources
89,10490,1961-09-28,Huiqun,Vuskovic,F,1992-10-07,d003,Human Resources
90,10491,1964-09-09,Garnik,Narahari,M,1990-01-17,d003,Human Resources
91,10492,1957-04-03,Lobel,Kumaresan,M,1988-04-24,d003,Human Resources
92,10493,1962-01-12,Maris,Haraldson,M,1992-05-16,d003,Human Resources
93,10494,1953-12-21,Yakkov,Servieres,F,1986-01-18,d003,Human Resources
94,10495,1961-05-24,Anyuan,Zhiwei,F,1985-09-29,d003,Human Resources
95,10496,1959-04-18,Gretta,Baig,M,1987-02-26,d003,Human Resources
96,10497,1953-06-09,Pramod,Rabehasaina,M,1992-01-22,d003,Human Resources
97,10498,1964-09-15,Valter,Cappelletti,F,1988-02-01,d003,Human Resources
98,10499,1953-10-04,Maik,Luft,F,1989-11-23,d003,Human Resources
